Venue Name,Veg Plate price,Non-Veg Plate price,Location
The Ummed Jodhpur,"1,800","2,000",The Ummed Jodhpur Palace Resort & Spa
Garh Govind,700,"1,000","Garh Govind, Gopal Bari, Jodhpur, Rajasthan, India"
Hotel The Balam,750,,"Hotel The Balam, Shikargarh Road, Shikargarh Enclave, Cantt Area, Jodhpur, ..."
ITC Welcom Hotel,"2,000","2,400","Khasra No.53, Near Vidhyashram International School, Village Uchiyarda, Jod..."
Amritam Palace,900,,"Amritam Palace(A Unit Of Hotel Holidays Resort), Jaisalmer Bypass Road, Vin..."
Shivam Palace & Resort,600,,"Shivam Palace & Resort, New Nagour Road, Mandore, Jodhpur, Rajasthan, India"
"Hotel Madhuram Royale, Pal Road","1,200","1,450","Hotel Madhuram Royale, Pal Road, Khema-Ka-Kuwa, Jodhpur, Rajasthan, India"
Amargarh Resort by Neelkanth Alura,750,,"Amargarh Resort by Neelkanth Alura, Pal Road, Shubham Farm, Mansarover Colo..."
Fairfield by Marriott Jodhpur Hotel,"1,800","1,800","Fairfield by Marriott Jodhpur, Vijay Raje Nagar, Meera Nagar, Jodhpur, Raja..."
Otc Grand,500,,"OTC Resorts And Water Park, opp. gramin police line, Daijar, Jodhpur, Rajas..."
The Marugarh Resort & Spa,"1,100","1,200","The Marugarh Resort & Spa, Chopasni, Jaisalmer Bypass Road, Gopal Bari, Jod..."
The Laal Bagh Jodhpur,500,,"Opp Mokaaz cafe Pal, Bypass road, near veeru cricket academy, Jodhpur, Raja..."
"Bijolai Palace - A Inde Hotel, Jodhpur","1,200","1,800","Jodhpur, Rajasthan, India"
Goyal Greens,800,900,"Goyal Greens, Pal Road, Near Sai Baba Temple, Pal Gaon, Jodhpur, Rajasthan,..."
Ajit Bhawan Palace Hotel,"2,000","2,500","Circuit House Road, Jodhpur, Rajasthan 342006"
Ranbanka Palace,850,"1,150","Ranbanka Palace, Circuit House Road, Ajit Colony, Jodhpur, Rajasthan, India"
Radisson Jodhpur,"1,600",,"Radisson Jodhpur, Gaurav Path, Residency Road, Air Force Area, Jodhpur, Raj..."
Kubergarh Resort,500,,"Kuber Garh, Gopal Bari, Chaukhan, Rajasthan, India"
